word,tf,df,tfidf
policy,96,51,340.28608785019964
iot-device,98,55,339.97564120128055
business,94,48,338.89550880406534
european-vision,53,3,338.0265849022772
single,108,78,336.9344638832259
decision,99,59,336.4945587885604
factor,98,57,336.4752691062768
healthcare,92,46,335.6004505900826
terminal,83,31,335.526269664337
recently,116,98,335.41456868922666
hand,97,56,334.75870697158933
object,82,30,334.1725499591435
element,102,67,333.7215357008398
receive,103,70,332.48164532879827
heterogeneous,102,68,332.21039695075547
adopt,106,77,332.0626976868835
distance,97,58,331.35484894989617
extend,98,61,329.8286546650782
establish,107,81,329.7764852345869
goal,102,70,329.2536681896837
constraint,108,84,328.9308028906239
theory,97,60,328.0663984373551
highlight,111,92,327.96990225675
researcher,112,95,327.3306948310968
specifically,115,103,326.800490187441
zhang,63,10,325.95489915470114
effective,104,77,325.79736376826304
core-network,75,23,325.57336239260667
endtoend,86,41,323.6094270435254
throughput,102,74,323.585543371893
describe,101,72,323.1804324769329
people,83,36,323.115135744747
dissemination,55,5,322.68689578013925
evaluate,109,92,322.0605346485203
spatial,86,42,321.5370376077262
compute,80,32,320.85891826913434
attack,83,37,320.8410208871335
solve,109,94,319.7163582794352
derive,107,89,319.6984532231989
promising,107,90,318.50291005919956
network-architecture,94,60,317.92001498052963
fundamental,98,69,317.7518559035313
network-slice,76,27,317.72829915212776
advanced,93,58,317.6907314674262
flexibility,89,50,317.23599444048256
quantum,79,32,316.8481817907701
limitation,97,68,315.9255735708165
cooperative,85,43,315.7981425649791
connection,93,60,314.53788716158783
represent,91,56,314.05198282901677
mimo,88,50,313.6715450647468
characterize,94,63,313.33373954860303
general,92,59,312.7020142277531
involve,92,59,312.7020142277531
riss,83,41,312.3207261001466
drone,79,34,312.05883666727175
ieee-access,53,5,310.95282684267966
accurate,91,58,310.85867272619123
mobile-network,91,58,310.85867272619123
metric,90,56,310.600862138588
training,83,42,310.32062931908456
enable-technology,99,77,310.1340289717119
significant,100,80,309.44457464900233
thz-communication,80,37,309.24435748157447
major,99,78,308.85659189295706
monitoring,77,32,308.82670883404177
positioning,68,19,308.1782713358276
remote,80,38,307.11089771500156
air-interface,74,28,306.6758224531639
ability,92,63,306.6670642390583
metasurface,78,35,305.8476969346103
facilitate,93,66,305.67404043978564
imaging,75,30,305.64562496263125
highly,95,71,305.31028789164606
evolve,91,62,304.78975764681206
path,89,58,304.02661398495627
year,87,54,303.4114851101679
virtual,75,31,303.18638825090693
size,83,46,302.7699717280093
mapping,71,25,302.28935549699503
find,94,71,302.0964953875235
introduction,86,53,301.5315202146134
privacy,80,41,301.0320251567678
sustainable,80,41,301.0320251567678
overview,92,67,301.0037380831104
paper-present,107,106,300.9945617145467
volume,70,24,300.8892985571172
scale,86,54,299.92399677556824
technologies,91,66,299.10040516151065
figure-color-online,44,2,298.4663088265742
nature,86,55,298.34597085010336
predict,85,53,298.0253397470016
provision,83,49,297.52612289342215
active,79,41,297.2691248423082
estimate,87,58,297.1945552437213
efficiently,96,80,297.06679166304224
run,71,27,296.8251215763299
regard,95,78,296.37753767505984
recent,94,76,295.69946984249196
energy-consumption,82,48,295.63225236099316
ubiquitous,82,48,295.63225236099316
configuration,85,55,294.8768316541719
tool,88,62,294.7417436584556
deep-learning,84,53,294.51915927938984
communication-technology,94,77,294.4706941751608
limited,87,60,294.245120247937
content,71,28,294.2430188401978
full,82,49,293.94147081036886
innovation,81,47,293.7323071357616
industrial,80,45,293.5847913114868
scheduling,78,41,293.5062245278486
federated-learning,75,36,291.9715082030846
reliable,85,57,291.8407946329952
european,54,8,291.4396653321398
view,83,53,291.01297881177805
tradeoff,82,51,290.6610333720455
fog,60,14,290.2449030929188
relevant,87,63,290.0003759651964
satisfy,91,73,289.92717754141177
wave,78,43,289.79123670668673
frequency-band,76,39,289.7812158626037
publication,56,10,289.7376881375121
localization-sense,57,11,289.47889517683547
standardization,83,54,289.4615317717694
decade,81,51,287.11638662360593
propagation,81,51,287.11638662360593
action,68,26,286.8495573336848
reach,88,68,286.6128914869263
machine,72,33,286.5574670182146
server,76,41,285.9804238989294
manage,83,57,284.9739524063365
version-february,42,2,284.8996584253663
effort,85,62,284.6937296700992
wireless-system,85,62,284.6937296700992
similar,78,46,284.5308168046352
health,76,42,284.14900997892084
transform,84,60,284.0987367911116
quality,80,51,283.5717398751664
test,80,51,283.5717398751664
future-network,89,73,283.55515166138076
carry,85,63,283.3337006556517
power-consumption,76,43,282.36069217574607
ran,63,20,282.28662677942464
maritime,60,16,282.23301953544745
circuit,69,30,281.1939749656208
widely,85,65,280.6772344578028
largescale,76,44,280.61348879066895
subnetwork,58,14,280.5700729898215
adaptive,80,53,280.4944374089427
improvement,86,68,280.0989621349507
objective,86,68,280.0989621349507
video,65,24,279.39720580303737
vlc,63,21,279.2128464367504
lower,82,59,278.7126648551712
surface,74,41,278.45462327001025
software,71,35,278.3998266968889
suitable,86,70,277.60603396385096
spectral-efficiency,77,48,277.6058955097131
low-latency,80,56,276.0896552343005
estimation,76,47,275.60068323849237
unit,73,41,274.69172295555063
overcome,85,70,274.3780568247364
china,54,11,274.24316385173887
chapter,79,55,274.0619964785833
combination,78,53,273.48207647371913
small,77,51,272.93779962984763
practical,79,56,272.63853454387174
simultaneously,85,72,271.9835322825673
engineering,66,29,271.20565237771046
step,76,50,270.8981525559177
ntn,56,14,270.8952428867242
robust,71,39,270.71666218743235
block,76,51,269.393152881408
mec,65,28,269.3774116142656
antenna-array,62,23,269.14064624455483
authentication,62,23,269.14064624455483
manner,75,49,268.8489062289959
cluster,70,38,268.72203550062636
passive,67,32,268.71934405039997
datum-transmission,76,52,267.91737835626833
operator,64,27,267.56067297021286
extreme,71,41,267.1659223266314
message,62,24,266.5019501505895
continuous,72,44,265.8443578016864
offload,66,32,264.7086075720358
ofdm,67,34,264.65749438869886
consideration,77,57,264.3734257263604
fast,77,57,264.3734257263604
understand,71,43,263.78433084839435
owe,56,16,263.41748489975095
error,73,48,263.18481002868907
speed,75,53,262.9635350708838
collect,68,37,262.8577038593383
indoor,65,31,262.76153648411935
continue,67,35,262.71532941819095
thz-band,67,35,262.71532941819095
delivery,66,33,262.67767810003005
promise,78,61,262.51668432526634
transmit,76,56,262.28517247258543
discussion,83,75,262.1956942130904
reflection,62,26,261.5393022748303
vehicular-network,59,21,261.48504666298845
data,67,36,260.8278806614223
vertical,64,30,260.817599968112
potentially,66,34,260.7073825321511
reference,70,43,260.069058582924
transmitter,72,48,259.579538658433
consist,77,61,259.15108580827575
packet,65,33,258.6977132803326
detect,69,42,257.9773906387571
data-rate,72,50,256.64035505297466
fullduplex,53,14,256.38299773207825
affect,67,39,255.46501924729534
product,60,25,255.4557933777423
cover,72,51,255.2145658876497
strong,65,35,254.87308077884197
principle,69,44,254.76750955994945
accord,71,49,254.5102978967828
reduction,71,49,254.5102978967828
effectively,74,57,254.0731623863723
probability,67,40,253.7687261123479
input,59,24,253.60669449814162
scalable,66,38,253.36649061487628
stage,68,43,252.6385140519833
plane,57,21,252.6211467761075
multiple-access,67,41,252.11432106879303
empower,73,56,251.93181040129917
significantly,71,51,251.66991913921012
common,72,54,251.09916009117345
tracking,56,20,250.92144602615522
sixth-generation,81,80,250.6501054656919
wavelength,62,31,250.63408095408306
cellular,66,40,249.98113318529795
account,70,50,249.51145630150313
fig,45,7,248.87530044488662
challenging,69,48,248.763724547665
beamforming,66,41,248.35142075433345
allocation,70,51,248.12527239077056
depend,64,37,247.39548598525957
innovative,64,37,247.39548598525957
purpose,69,49,247.34099373067622
downlink,66,42,246.76098235011546
density,62,33,246.75781882124033
terrestrial,61,31,246.59159577740428
big-datum,60,29,246.55059307064587
ieee-commun,42,5,246.4154476866518
oct,42,5,246.4154476866518
dimension,67,45,245.87726272337022
entity,64,38,245.68871817200124
holographic,56,22,245.584075957113
report,66,43,245.20796952104263
transport,57,24,245.00985739650972
dataset,62,34,244.90693510596012
communicate,64,39,244.02628704219256
cv2x,40,4,243.60712080176057
commun,44,7,243.34473821277803
detail,74,66,243.2245052961735
light,65,42,243.02217958723492
bit,60,31,242.54911060072553
average,71,58,242.53808531384152
condition,67,48,241.55318180715295
conduct,72,62,241.1523357205546
avoid,64,41,240.82562012541425
vehicular,64,41,240.82562012541425
degree,58,28,240.3675365173447
neural-network,63,39,240.2133763071583
today,65,44,239.99837857096688
procedure,68,52,239.7155490556085
irss,48,12,239.59515510604345
resolution,54,21,239.32529694578605
scalability,64,42,239.28337682435438
abstract,74,70,238.87030829447642
integrated,63,40,238.61835440414805
evaluation,66,48,237.94791043689696
technological,70,59,237.925445608073
polar-code,39,4,237.51694278171655
determine,69,57,236.9060568197255
stateoftheart,73,69,236.69270898936514
assist,71,63,236.66697348883844
transfer,67,52,236.190320393026
comparison,68,55,235.90146532333753
maximize,68,55,235.90146532333753
regulation,52,19,235.66573690386818
contribute,61,38,234.1720595076887
directly,61,38,234.1720595076887
noise,61,38,234.1720595076887
variety,61,38,234.1720595076887
usage,63,43,234.0621527246316
aiml,49,15,233.6526868230231
automation,60,36,233.57720656246772
chen,45,10,232.82492796764367
uplink,58,32,232.62271574512238
simulation-result,73,73,232.57894462113254
remain,67,55,232.4323261274061
societal,53,22,232.42778617369623
nfv,44,9,232.2869033684182
hexax,38,4,231.42676476167253
situation,59,35,231.346334860795
overhead,63,45,231.1980231577959
result-show,70,65,231.1459577887788
smart-city,61,40,231.0431685500481
conference,47,13,230.84158211401135
route,57,31,230.42165507068924
virtualization,54,25,229.91021403996808
crucial,63,46,229.81335203451306
select,63,46,229.81335203451306
minimize,67,58,228.87396783137157
interest,63,47,228.45846110559233
pattern,56,30,228.215399972098
behavior,59,37,228.06771364266118
journal,44,10,227.6510406794738
grow,62,45,227.5282132664023
relay,58,35,227.42521054112052
wireless-channel,58,35,227.42521054112052
dynamically,60,40,227.25557562299812
idea,65,54,226.686741748976
extremely,62,46,226.16552104983825
capture,55,29,226.00471031475874
generic,46,13,225.93005909030896
ict,48,16,225.786415628358
progress,60,41,225.77401886757585
inference,52,23,225.7308645922073
output,57,34,225.1563758232214
availability,59,39,224.96173336702128
diverse,62,47,224.83213632613848
bss,45,12,224.62045791191574
autonomous,56,32,224.60124278839402
deal,63,50,224.56031067135282
literature,65,56,224.32284487786913
additional,58,37,224.20215917414149
author,53,26,223.57391968654844
motivate,62,48,223.52682495587288
release,52,24,223.5177646424299
maintain,57,35,223.50408622144602
fog-computing,44,11,223.4573927680835
nonorthogonal-multiple-access-noma,67,63,223.33362286974895
core,63,51,223.3127451516935
key-technology,63,51,223.3127451516935
storage,56,33,222.8780299030558
parallel,58,38,222.65540084337613
methodology,61,46,222.51769006516344
equipment,54,29,221.89553376358128
reconfigurable-intelligent-surface,60,44,221.53696483473865
theoretical,61,47,221.20581154668466
holographic-radio,45,13,221.0185360666066
matrix,57,37,220.3366047056218
activity,54,30,220.0648499730945
reality,61,48,219.9215535856169
aid,58,40,219.68038976889818
load,53,28,219.6461971624012
services,56,35,219.58296190177154
summarize,62,52,218.56417708011364
relate,58,41,218.24821823865665
mmimo,47,17,218.2331747440614
capable,59,44,217.844682087493
key-enabler,59,44,217.844682087493
handle,60,47,217.5794867672308
decoding,48,19,217.5376032958783
vary,57,39,217.33591189695275
adapt,55,34,217.25615211012592
class,49,21,217.16554722858365
small-cell,51,25,217.13742437108095
angle,50,23,217.04890826173778
cognitive,50,23,217.04890826173778
wirel,34,3,216.84724314485706
life,54,32,216.57976983166566
thing,60,48,216.31628221536087
formulate,63,57,216.30553013974938
growth,57,40,215.89279684184822
lack,57,40,215.89279684184822
simple,57,40,215.89279684184822
handover,47,18,215.5467292935838
list,52,28,215.5019292914125
radio-access,52,28,215.5019292914125
sector,52,28,215.5019292914125
typically,52,28,215.5019292914125
lightweight,48,20,215.0755251652759
green,53,31,214.25171436397423
realization,53,31,214.25171436397423
sharing,53,31,214.25171436397423
selection,58,44,214.15239934024737
alternative,59,47,213.95316198777695
begin,61,53,213.8770085243188
consumption,57,42,213.1117574841906
channel-modeling,49,23,212.70793009650302
satellite-communication,49,23,212.70793009650302
driver,53,32,212.56903335330148
means,53,32,212.56903335330148
complete,56,40,212.10520391479827
collaboration,45,16,211.6747646515856
sdn,46,18,210.96062867031605
total,59,50,210.3025131684098
train,55,39,209.71009042688422
classical,50,27,209.0317757579788
feedback,45,17,208.946656669846
city,49,25,208.62223125848953
terahertz-thz,61,58,208.37779160766664
maximum,55,40,208.31761098774828
controller,47,21,208.30164734170268
ultramassive-mimo,47,21,208.30164734170268
drl,43,14,208.0088472165918
outline,57,46,207.9263661264642
adjust,53,35,207.81958894274806
replace,50,28,207.2133935494351
personal,44,16,206.97088099266148
response,55,41,206.95951729527786
long,49,26,206.70041631397874
provider,45,18,206.37452804704833
construct,53,36,206.32653246351313
update,53,36,206.32653246351313
add,51,31,206.1667440106167
social,47,22,206.11520660686267
reflect,54,39,205.89717969184997
millimeter-wave,55,42,205.63415195842956
real,55,42,205.63415195842956
anticipate,56,45,205.5093539180408
illustrate,57,48,205.5004681045928
initial,52,34,205.40581654048268
deep,53,37,204.8743868315431
research-challenge,53,37,204.8743868315431
safety,53,37,204.8743868315431
risk,49,27,204.8511402428192
final,41,12,204.6541949864121
basis,54,40,204.53001806069832
datadriven,52,35,203.89846462307355
security-privacy,50,30,203.7637499750875
wideband,50,30,203.7637499750875
additionally,56,47,203.07418764941542
iot-network,49,28,203.0691256784464
filter,51,33,202.97820580456866
cooperation,50,31,202.12425883393794
wireless-communication-system,53,39,202.08426895681572
refer,54,42,201.89534919554902
topic,54,42,201.89534919554902
shift,55,45,201.8395440266472
consumer,46,22,201.7297766790571
oam,41,13,201.3724439717971
prove,58,55,201.2100733640232
multiuser,48,27,200.67050472765965
place,55,46,200.63070415711456
fix,50,32,200.53682391820894
application-scenario,47,25,200.10703814589814
signaling,47,25,200.10703814589814
typical,49,30,199.68847497558576
summary,46,23,199.68499560079874
lte,44,19,199.40946968788845
blockage,48,28,198.92485780745767
iterative,48,28,198.92485780745767
telecommunications,48,28,198.92485780745767
face,52,39,198.27135822178147
iii,47,26,198.2636646276939
station,50,34,197.5055928273872
identification,48,29,197.24047445651672
reinforcement-learning,48,29,197.24047445651672
building,51,37,197.1432778945037
jointly,54,46,196.98287317243975
wireless-communications,53,43,196.90943006992816
white-paper-edge-intelligence,29,2,196.71643081751483
lis,38,10,196.60771695045466
mobile-device,47,27,196.48986921250008
monitor,50,35,196.05621598372457
promote,51,38,195.7831972933135
worldwide,53,44,195.69098560401915
utilization,52,41,195.67081635189908
diversity,48,30,195.613199976084
energy-harvesting,48,30,195.613199976084
channel-measurement,41,15,195.5053093825295
power-allocation,49,33,195.01827616517383
seamless,49,33,195.01827616517383
laser,42,17,195.01687955852293
incorporate,53,45,194.49992424386002
ericsson,33,5,193.61213746808355
expand,49,34,193.55548097083945
dnn,40,14,193.49660206194585
initiative,45,24,193.4288347867182
coordinate,50,37,193.27772342598405
country,50,37,193.27772342598405
energyefficient,50,37,193.27772342598405
modern,51,40,193.16723927954843
difficult,47,29,193.13129790533927
program,42,18,192.6162261772451
trajectory,42,18,192.6162261772451
carrier,46,27,192.3092336973405
mitigate,53,47,192.19521331105386
influence,50,38,191.94431107187597
dynamics,45,25,191.59184503330673
medical,45,25,191.59184503330673
centralized,47,30,191.53792497658225
pose,48,33,191.0383113454764
question,48,33,191.0383113454764
aibased,44,23,191.00303927032923
precoding,44,23,191.00303927032923
concern,49,36,190.75471869268196
commercial,50,39,190.64553675171294
computational,46,28,190.63632206548027
path-loss,46,28,190.63632206548027
side,47,31,189.99680330390166
urban,47,31,189.99680330390166
topology,45,26,189.82691294140906
mtc,38,12,189.6794977922844
good,48,34,189.6053691142917
act,49,37,189.41216895746436
foundation,44,24,189.13041623590223
comprehensive,50,41,188.14501572297988
spectrum-efficiency,45,27,188.12859818218092
tech,32,5,187.74510299935375
basic,46,30,187.4626499770805
beamform,47,33,187.05834652577897
access-point,48,36,186.86176524997416
characterization,43,23,186.6620611050945
body,42,21,186.14189762450027
resource-management,42,21,186.14189762450027
fact,46,31,185.9543181272229
huge,50,43,185.76361327351714
cloud-computing,44,26,185.60853709826662
kind,44,26,185.60853709826662
cope,48,37,185.54661448894467
relationship,48,37,185.54661448894467
decrease,51,47,184.94256375214619
direct,46,32,184.49387800475225
specification,47,35,184.2928430247011
switch,42,22,184.18805696783474
article-accept,27,2,183.14978041630692
ieee-commun-mag,27,2,183.14978041630692
definition,46,33,183.07838170608156
ground,46,33,183.07838170608156
line,46,33,183.07838170608156
top,43,25,183.0766519207153
numerous,48,39,183.01971528164444
yang,30,4,182.70534060132042
europe,33,7,182.50855365958353
environmental,42,23,182.32108293985974
explainability,31,5,181.87806853062395
increasingly,48,40,181.8044604983985
unprecedented,48,40,181.8044604983985
internet-thing-iot,51,50,181.7869181625237
short,46,34,181.70514540119623
manufacturing,43,26,181.3901612551242
wifi,43,26,181.3901612551242
customer,40,19,181.2813360798986
power-control,38,15,181.20004284234443
candidate,48,41,180.61921509406068
entire,45,32,180.48314152638807
